P00734	['凝血酶原', '3.4.21.5', '凝血因子II']
Q9HD40	['Sec合成酶', 'SLA\\/LP自身抗原', '硒代半胱氨酸合酶', '肝胰腺抗原', 'SLA', 'UGA抑制tRNA相关蛋白', '2.9.1.2', '硒代半胱氨酸-tRNA（Sec）合酶', 'SLA-p35', 'SepSecS', 'LP', 'tRNA（丝氨酸\\/秒）相关抗原蛋白', 'Sep-tRNA:Sec-tRNA合酶', 'TRNP48', 'O-磷酸丝氨酸-tRNA（Sec）硒转移酶', '可溶性肝抗原']
Q9NUV7	['2.3.1.50', '丝氨酸棕榈酰辅酶A转移酶3', 'SPTLC2L', '丝氨酸棕榈酰转移酶3', 'SPT 3', 'LCB2b', '长链碱生物合成蛋白2b', '立法会三题', 'C20或F38', '长链碱生物合成蛋白3']
Q9UGI5	['EC 4.1.1.15', '谷氨酸脱羧酶']
Q9UJX1	['丙氨酸乙醛酸转氨酶同系物']
Q99707	['维生素B12依赖性蛋氨酸合酶', '太太', '2.1.1.13', '5-甲基四氢叶酸——同型半胱氨酸甲基转移酶', '蛋氨酸合酶']
P22033	['5.4.99.2', '甲基丙二酰辅酶A变位酶，线粒体', 'Modern Creation Munich', '甲基丙二酰辅酶A异构酶']
Q9UBK8	['1.16.1.8', 'MSR', '蛋氨酸合酶还原酶']
Q8IVH4	['3.6.-.-', '甲基丙二酸尿A型蛋白，线粒体']
Q9Y4U1	['甲基丙二酸尿与高胱氨酸尿C型蛋白']
P42898	['1.5.1.20', '亚甲基四氢叶酸还原酶']
P11586	['C1-THF合酶', 'MTHFD', 'MTHFC', 'C-1-四氢叶酸合酶，细胞质']
P13995	['NMDMC', '双功能亚甲基四氢叶酸脱氢酶\\/环水解酶，线粒体']
P48728	['2.1.2.10', '甘氨酸裂解系统T蛋白', 'GCST', '线粒体氨基甲基转移酶', 'GCVT']
O75891	['1.5.1.6', '乙醛脱氢酶家族1成员L1', '胞浆10-甲酰四氢叶酸脱氢酶', 'FTHFD', '10-FTHFDH']
O95954	['甲酰转移酶环脱氨酶', 'FTCD', '甲氨基转移酶环脱氨酶', 'LCHC1']
P31939	['双功能嘌呤生物合成蛋白PURH', '嘘']
Q96DP5	['甲硫酰-tRNA甲酰转移酶，线粒体', 'FMT', 'FMT1', 'MtFMT', '2.1.2.9']
P12081	['组氨酸——tRNA连接酶，细胞质', '嘶嘶声', '高分辨率分光计', '6.1.1.21', '组氨酸tRNA合成酶']
Q99624	['Na（+）偶联的中性氨基酸转运体3', 'NAT1', '溶质载体家族38成员3', 'N-系统氨基酸转运体1', '钠偶联中性氨基酸转运体3', 'G17', '系统N氨基酸转运体1', 'SN1', '陷阱3']
P42357	['组氨酸解氨酶', '组氨酸酶', '他的', '4.3.1.3']
Q14749	['2.1.1.20', '甘氨酸N-甲基转移酶']
P17707	['4.1.1.50', 'S-腺苷甲硫氨酸脱羧酶原酶', 'AMD', '腺苷甲硫氨酸脱羧酶']
P31153	['垫子2', 'AMS2', 'MATA2', '2.5.1.6', 'S-腺苷蛋氨酸合酶亚型-2', 'MAT-II', '蛋氨酸腺苷转移酶II', 'AdoMet合成酶2', '蛋氨酸腺苷转移酶2']
Q00266	['S-腺苷甲硫氨酸合酶亚型-1', '2.5.1.6', 'AdoMet合成酶1', 'MAT-I\\/III', '蛋氨酸腺苷转移酶1', 'MATA1', '蛋氨酸腺苷转移酶I\\/III', '垫1', 'AMS1']
P21964	['邻苯二酚O-甲基转移酶', '2.1.1.6']
Q8N1G2	['2.1.1.57', "Cap特异性mRNA（核苷-2'-O-）-甲基转移酶1", '甲基转移酶1', 'hMTr1', 'KIAA0082', '干扰素刺激基因95kDa蛋白', "Cap1 2'O-核糖甲基转移酶1", 'FTSJD2', 'MTR1', '含FtsJ甲基转移酶结构域的蛋白质2', 'ISG95']
Q9HBK9	['S-腺苷-L-蛋氨酸：砷（III）甲基转移酶', 'CYT19', '甲基胂基转移酶', '亚砷酸甲基转移酶', '2.1.1.137']
O15427	['单羧酸转运蛋白4', '溶质载体家族16成员3', 'MCT4', 'MCT 4']
P36021	['含X连锁害虫转运体', '溶质载体家族16成员2', 'MCT8', '单羧酸转运蛋白8', 'MCT 7', '单羧酸转运蛋白7', 'XPCT', 'MCT 8']
O15375	['MCT 6', 'MCT5', '溶质载体家族16成员5', '单羧酸转运蛋白6', '单羧酸转运蛋白5', 'MCT6', 'MCT 5']
P30613	['R型\\/L型丙酮酸激酶', '红细胞\\/肝丙酮酸激酶', 'PKL', 'PK1', '丙酮酸激酶1', '丙酮酸激酶同工酶L\\/R', '2.7.1.40', '丙酮酸激酶PKLR']
O15403	['MCT 6', '溶质载体家族16成员6', '单羧酸转运蛋白6', 'MCT7', 'MCT 7', '单羧酸转运蛋白7', 'MCT6']
O60669	['单羧酸转运蛋白2', 'MCT2', '溶质载体家族16成员7', 'MCT 2']
P11177	['1.2.4.1', 'PHE1B', 'PDHE1-B', '丙酮酸脱氢酶E1组分β亚单位，线粒体']
P14618	['p58', '甲状腺激素结合蛋白1', 'OIP-3', 'CTHBP', '胞浆甲状腺激素结合蛋白', 'PK3', '丙酮酸激酶', 'PKM2', 'PK2', '肿瘤M2-PK', 'THBP1', 'OIP3', '2.7.1.40', 'Opa相互作用蛋白3', '丙酮酸激酶肌肉同工酶', '丙酮酸激酶2\\/3']
O15374	['溶质载体家族16成员4', 'MCT4', 'MCT 4', 'MCT5', '单羧酸转运蛋白5', '单羧酸转运蛋白4', 'MCT 5']
O95907	['溶质载体家族16成员8', 'MCT 3', '单羧酸转运蛋白3', 'MCT3']
P53985	['溶质载体家族16成员1', 'MCT 1', 'MCT1', '单羧酸转运蛋白1']
P11498	['丙酮酸羧化酶，线粒体', '丙酮酸羧化酶', '6.4.1.1', '印刷电路板']
Q9UHI5	['大中性氨基酸转运体小亚基2', 'LAT2', 'hLAT2', 'L型氨基酸转运体2', '溶质载体家族7成员8']
Q9Y285	['苯丙氨酸-tRNA合成酶α亚单位', 'CML33', '苯丙氨酸——tRNA连接酶α亚单位', '天狼星', '法尔斯', '法斯拉', '法尔', '6.1.1.20']
P00439	['多环芳烃', '苯丙氨酸单加氧酶', '苯丙氨酸-4-羟化酶', '1.14.16.1']
O95363	['苯丙氨酸-tRNA合成酶', 'FARS1', '天狼星', '苯丙氨酸——tRNA连接酶，线粒体', '6.1.1.20']
Q9NSD9	['FRSB', '天狼星', 'FARSLB', '6.1.1.20', '苯丙氨酸-tRNA合成酶β亚单位', '苯丙氨酸——tRNA连接酶β亚单位']
P07101	['酪氨酸羟化酶', '酪氨酸3-单加氧酶', '1.14.16.2', '真实航向', '泰']
P05166	['PCCase亚单位β', '丙酰辅酶A羧化酶β链，线粒体', '6.4.1.3', '丙酰辅酶A：二氧化碳连接酶β亚单位']
P50747	['生物素载脂蛋白连接酶', '生物素——蛋白质连接酶', '6.3.4.-']
Q9HCC0	['MCCaseβ亚单位', '3-甲基巴豆酰辅酶A：二氧化碳连接酶β亚单位', '甲基巴豆酰辅酶A羧化酶β链，线粒体', '6.4.1.4', '3-甲基巴豆酰辅酶A羧化酶非生物素亚单位', '3-甲基巴豆酰辅酶A羧化酶2', '塑壳断路器']
O00763	['乙酰辅酶A羧化酶2', 'ACCβ', 'ACC2', 'ACCB', '6.4.1.2']
Q96RQ3	['MCCase亚单位α', '甲基巴豆酰辅酶A羧化酶亚单位α，线粒体', '3-甲基巴豆酰辅酶A：二氧化碳连接酶亚单位α', '麦卡', '6.4.1.4', '3-甲基巴豆酰辅酶A羧化酶1', '3-甲基巴豆酰辅酶A羧化酶含生物素亚单位']
P05165	['丙酰辅酶A：二氧化碳连接酶亚单位α', '丙酰辅酶A羧化酶α链，线粒体', '6.4.1.3', 'PCCase亚单位α']
Q13085	['阿克', 'ACAC', 'ACC阿尔法', '乙酰辅酶A羧化酶1', '6.4.1.2', 'ACC1']
Q9Y5K3	['CTP：磷酸胆碱胞苷酰转移酶B', 'CCTB', '2.7.7.15', 'CCTβ', 'CCT B', '磷酸胆碱转移酶B', '磷酸胆碱胞苷基转移酶B', 'CT B']
P22303	['3.1.1.7', '乙酰胆碱酯酶', '疼痛']
P49585	['CCT A', 'PCYT1', 'CT A', 'CCTα', '2.7.7.15', '磷酸胆碱胞苷基转移酶A', 'CTPCT', 'CTP：磷酸胆碱胞苷酰转移酶A', '磷酸胆碱转移酶A']
O14939	['PLD1C', '3.1.4.4', '胆碱磷酸酶2', 'PLD 2', '磷脂酰胆碱水解磷脂酶D2', '磷脂酶D2']
P06276	['胆碱酯酶', '胆碱酯酶II', '假胆碱酯酶', '丁酰胆碱酯酶', '3.1.1.8', '酰胆碱酰水解酶', '车1']
Q13393	['磷脂酶D1', '3.1.4.4', '磷脂酰胆碱水解磷脂酶D1', '胆碱磷酸酶1', 'PLD 1']
Q8TCT1	['磷酸乙醇胺\\/磷酸胆碱磷酸酶', '3.1.3.75']
P36544	['神经元乙酰胆碱受体亚单位α-7', '纳卡拉7']
P30825	['REC1L', '犯错误', '嗜生态逆转录病毒白血病受体同系物', '嗜生态逆转录病毒受体同系物', 'ATRC1', '系统Y+碱性氨基酸转运体', '高亲和力阳离子氨基酸转运体1', '第一类', '溶质载体家族7成员1']
O43246	['溶质载体家族7成员4', '四类', '阳离子氨基酸转运体4']
Q8WY07	['ATRC3', '阳离子氨基酸转运体3', '第三类', '溶质载体家族7成员3', '第三类', '阳离子氨基酸转运体y+']
P52569	['低亲和力阳离子氨基酸转运体2', '阳离子氨基酸转运体2', '第二类', '溶质载体家族7成员2', 'ATRC2', '第二类']
Q15046	['莱瑟斯', '赖氨酸-tRNA连接酶', 'KIAA0070', '赖氨酰-tRNA合成酶', '6.1.1.6']
P29474	['诺西', '组成型', 'cNOS', '1.14.13.39', '内皮型一氧化氮合酶', '第三类', '伊诺斯', '一氧化氮合酶，内皮细胞', 'EC-NOS']
P04424	['精氨琥珀酸酶', '4.3.2.1', '阿萨尔', '精氨琥珀酸裂解酶']
P35228	['NOS2A', '诱导型一氧化氮合酶', '伊诺斯', '1.14.13.39', '肽基半胱氨酸S-亚硝基化酶NOS2', '肝细胞一氧化氮合酶', 'HEP-NOS', '诱导型一氧化氮合酶', 'NOS II型', '引发酶']
P78540	['3.5.3.1', '精氨酸酶-2，线粒体', '肾型精氨酸酶', 'II型精氨酸酶', '非肝精氨酸酶']
P00966	['屁股', '瓜氨酸天冬氨酸连接酶', '6.3.4.5', '精氨琥珀酸合酶']
Q54873	['透明质酸裂解酶', '透明质酸酶', '海斯', '4.2.2.1']
P24300	['木糖异构酶', '5.3.1.5']
O00469	['1.14.11.4', 'LH2', '赖氨酰羟化酶2', '前胶原赖氨酸，2-酮戊二酸5-双加氧酶2']
O60568	['前胶原赖氨酸，2-酮戊二酸5-双加氧酶3', '1.14.11.4', 'LH3', '赖氨酰羟化酶3']
O75936	['γ-BBH', 'γ-丁烷双加氧酶', 'BBH', 'BBOX', 'γ-丁基甜菜碱羟化酶', 'γ-丁溴坦，2-酮戊二酸双加氧酶', '1.14.11.1']
P09172	['1.14.17.1', '多巴胺β羟化酶', '多巴胺β单加氧酶']
P19021	['帕姆', '肽基甘氨酸α酰胺化单加氧酶']
Q32P28	['富含亮氨酸和脯氨酸的蛋白聚糖1', '脯氨酰3-羟化酶1', '生长抑制物1', '麻风1', '莱普雷肯-1', '1.14.11.7', '格罗斯1']
Q8IVL5	['麻风蛋白样蛋白1', 'MLAT4', '粘液样脂肪肉瘤相关蛋白4', 'LEPREL1', '1.14.11.7', '脯氨酰3-羟化酶2']
Q8IVL6	['LEPREL2', '麻风蛋白样蛋白2', '脯氨酰3-羟化酶3', '1.14.11.7', '蛋白质B']
P13674	['4-PHα-1', '1.14.11.2', '前胶原脯氨酸，2-酮戊二酸-4-双加氧酶亚单位α-1', 'P4HA', '脯氨酰4-羟化酶亚单位α-1']
Q8N543	['含2-氧戊二酸和铁依赖性加氧酶结构域的蛋白质1', 'TPA1', '终止和聚腺苷酸化1同系物', '1.14.11.-', '起亚1612', '脯氨酰3-羟化酶OGFOD1']
Q6N063	['1.14.11.-', '含2-氧戊二酸和铁依赖性加氧酶结构域的蛋白质2']
Q6NS38	['1.14.11.33', '氧DC1', 'ABH2', 'DNA氧化脱甲基酶ALKBH2', '烷基化DNA修复蛋白alkB同源物2', 'α-酮戊二酸依赖性双加氧酶alkB同系物2']
Q96Q83	['前列腺癌抗原1', 'DEPC1', '烷基化DNA修复蛋白alkB同源物3', '1.14.11.-', 'α-酮戊二酸依赖性双加氧酶alkB同系物3', 'DEPC-1', 'ABH3']
Q9BY66	['赖氨酸特异性去甲基酶5D', '嗨', '蛋白质SmcY', 'HY', '斯密', '1.14.11.-', 'H-Y', 'KIAA0234', '组蛋白去甲基酶JARID1D', '组织相容性抗原', '含有蛋白质1D的Jumonji\\/Drid结构域', 'JARID1D']
Q02809	['LH1', '赖氨酰羟化酶1', '嗯', '1.14.11.4', '艰难地行走', '前胶原赖氨酸，2-酮戊二酸5-双加氧酶1']
Q9NVH6	['ε-三甲基赖氨酸羟化酶', 'ε-三甲基赖氨酸2-酮戊二酸双加氧酶', 'TML羟化酶', '线粒体三甲基赖氨酸双加氧酶', 'TML双加氧酶', 'TMLD', '1.14.11.8', 'TMLα-酮戊二酸双加氧酶', 'TMLH']
Q9NXG6	['PH4', 'HIF-PH4', '缺氧诱导因子脯氨酰羟化酶4', '跨膜脯氨酰4-羟化酶', 'HPH-4', '1.14.11.-', 'P4H-TM', 'HIF脯氨酰羟化酶4']
Q9GZT9	['C1orf12', 'HIF-PH2', '缺氧诱导因子脯氨酰羟化酶2', '含脯氨酰羟化酶结构域的蛋白质2', 'Egl九同系物1', '1.14.11.29', 'HPH-2', 'SM-20', 'HIF脯氨酰羟化酶2', 'PHD2']
Q96KS0	['雌激素诱导的标签6', 'HPH-3', 'Egl九同系物2', 'EIT6', 'HPH-1', '含脯氨酰羟化酶结构域的蛋白质1', '缺氧诱导因子脯氨酰羟化酶1', 'PHD1', '1.14.11.29', 'HIF-PH1', 'HIF脯氨酰羟化酶1']
Q9H6Z9	['HPH-3', 'HIF-PH3', '缺氧诱导因子脯氨酰羟化酶3', 'HPH-1', 'Egl九同系物3', '1.14.11.29', 'PHD3', '含脯氨酰羟化酶结构域的蛋白质3', 'HIF脯氨酰羟化酶3']
P52788	['精胺氨基丙基转移酶', '2.5.1.22', '间谍', '精胺合酶']
Q9NWM0	['1.5.3.16', 'PAOh1', 'PAO-1', '多胺氧化酶1', 'C20或F16', '精胺氧化酶', 'SMO']
P41180	['甲状旁腺细胞钙敏感受体1', '细胞外钙敏感受体', 'GPRC2A', '卡斯尔', 'PCAR1']
P08588	['β-1肾上腺素受体', 'β-1肾上腺素能受体', 'β-1肾上腺素受体', 'ADRB1R', 'B1AR']
P07550	['B2AR', 'ADRB2R', 'β-2肾上腺素能受体', 'β-2肾上腺素受体', 'β-2肾上腺素受体']
P07998	['核糖核酸酶1', '核糖核酸酶A', 'HP核糖核酸酶', '胰腺核糖核酸酶', '核糖核酸酶1', '核糖核酸酶A', '3.1.27.5', 'RNS1', '核糖核酸酶UpI-1', 'RIB1', '肋骨-1']
P61626	['3.2.1.17', '溶菌酶C', '1,4-β-N-乙酰壁酰胺酶C', 'LZM']
Q9UJS0	['线粒体天冬氨酸谷氨酸载体2', '钙结合线粒体载体蛋白Aralar2', '阿拉拉2', '溶质载体家族25成员13', '柠檬酸']
P45381	['氨基酰化酶-2', 'ACY-2', '酰基2', '天冬氨酰化酶', '3.5.1.15', 'ASP']
P08243	['谷氨酰胺依赖性天冬酰胺合成酶', '细胞周期控制蛋白TS11', 'TS11', '天冬酰胺合成酶[谷氨酰胺水解]', '6.3.5.4']
Q03154	['N-酰基-L-氨基酸氨基水解酶', '氨基酰化酶-1', '3.5.1.14', 'ACY-1']
P14868	['天冬氨酰-tRNA合成酶', 'ASPR', '天冬氨酸——tRNA连接酶，细胞质', '6.1.1.12', '细胞增殖诱导基因40蛋白']
O75746	['线粒体天冬氨酸谷氨酸载体1', '钙结合线粒体载体蛋白Aralar1', '阿拉拉1', '溶质载体家族25成员12']
Q12797	['呸', '天冬氨酰\\/天冬酰胺基β羟化酶', '天冬氨酸β羟化酶', '肽天冬氨酸β双加氧酶', '天冬氨酸β羟化酶', '1.14.11.16']
P22234	['多功能蛋白ADE2', '派斯', '阿德2', 'AIRC']
P30520	['腺苷酸琥珀酸合成酶，酸性同功酶', '酶2', 'L型腺苷酸琥珀酸合成酶', 'IMP——天冬氨酸连接酶2', '腺苷酸琥珀酸合成酶，肝脏同工酶', '腺苷酸琥珀酸合成酶同工酶2', 'ADSS2', '6.3.4.4']
P43005	['EAAC1', '兴奋性氨基酸转运体3', '兴奋性氨基酸载体1', '神经元和上皮谷氨酸转运体', '钠依赖性谷氨酸\\/天冬氨酸转运体3', 'EAAT3', '溶质载体家族1成员1']
Q5T6L4	['cDNA，FLJ96050，与智人精氨酸琥珀酸合成酶（ASS）高度相似，转录本Variat1，mRNA', '精氨琥珀酸合成酶，CRA_a亚型']
Q6PI48	['天冬氨酰-tRNA合成酶', 'ASPR', '天冬氨酸——tRNA连接酶，线粒体', '6.1.1.12']
Q7L266	['β-天冬氨酸肽酶', '异天冬氨酰肽酶\\/L-天冬酰胺酶', '天冬酰胺酶样蛋白1', '阿尔卑斯山', 'L-天冬酰胺氨基水解酶', '异天冬氨酰二肽酶', '崩溃', '3.4.19.5']
Q8N142	['腺苷酸琥珀酸合成酶，碱性同工酶', 'M型腺苷酸琥珀酸合成酶', '腺苷酸琥珀酸合成酶，肌肉同工酶', '腺苷酸琥珀酸合成酶同工酶1', 'IMP——天冬氨酸连接酶1', '6.3.4.4', '酶1', 'ADSS1']
P00480	['2.1.3.3', '鸟氨酸氨甲酰转移酶，线粒体', '鸟氨酸转氨淀粉酶', '奥特卡斯']
P05089	['3.5.3.1', 'I型精氨酸酶', '肝型精氨酸酶', '精氨酸酶-1']
P54368	['笨蛋', '鸟氨酸脱羧酶抗酶1', 'ODC Az']
Q9BXI2	['线粒体鸟氨酸转运体2', 'ORNT2', '溶质载体家族25成员2']
Q9Y619	['ORNT1', '溶质载体家族25成员15', '线粒体鸟氨酸转运体1']
P50440	['2.1.4.1', 'L-精氨酸：甘氨酸氨基转移酶', '转胺酶', '阿加特', '甘氨酸氨基转移酶，线粒体']
P17812	['CTPS', 'CTP合成酶1', '6.3.4.2', 'UTP——氨连接酶1', 'CTP合成酶1']
Q06203	['腺苷转移酶', 'GPAT', '酰胺磷酸核糖转移酶', '2.4.2.14', '谷氨酰胺磷酸核糖焦磷酸酰胺转移酶']
P15104	['6.3.1.2', 'GLNS', '谷氨酸脱羧酶', 'GS', '谷氨酰胺合成酶', '谷氨酸氨连接酶']
P16220	['环腺苷酸反应元件结合蛋白1', 'CREB-1']
Q07343	['PDE32', "cAMP特异性3'，5'-环磷酸二酯酶4B", 'DPDE4', '3.1.4.53']
Q9Y478	['AMPK亚单位β-1', "5'-AMP活化蛋白激酶亚单位β-1", 'AMPK']
P49773	['蛋白激酶C-相互作用蛋白1', 'PRKCNH1', '组氨酸三联体核苷酸结合蛋白1', '3.-.-.-', "腺苷5'-单磷酸酰胺酶", '暗示', 'PKCI1', '蛋白激酶C抑制剂1', 'PKCI-1']
Q08499	['DPDE3', '3.1.4.53', "cAMP特异性3'，5'-环磷酸二酯酶4D", 'PDE43']
Q9NR19	['ACAS2', '乙酰辅酶A合成酶，细胞质', 'ACS', '酰基激活酶', '酰基辅酶A合成酶短链家族成员2', '乙酰辅酶A合成酶', '6.2.1.1', 'AceCS', '醋酸盐-CoA连接酶']
Q13131	['AMPK亚单位α-1', "5'-AMP活化蛋白激酶催化亚单位α-1", '羟甲基戊二酰辅酶A还原酶激酶', 'Tau蛋白激酶PRKAA1', 'AMPK1', '2.7.11.1', 'ACACA激酶', 'HMGCR激酶', '乙酰辅酶A羧化酶激酶']
Q08828	['腺苷酸环化酶1型', '腺苷酸环化酶I型', '4.6.1.1', '腺苷酸环化酶1', '钙\\/钙调素激活的腺苷酸环化酶', 'ATP焦磷酸裂解酶1']
P33121	['长链脂肪酸辅酶A连接酶2', 'LACS1', '酰基辅酶A合成酶1', '6.2.1.3', '拉丁美洲和加勒比2', '长链酰基辅酶A合成酶2', '拉克斯', 'ACS1', '长链脂肪酸——辅酶A连接酶1', '长链酰基辅酶A合成酶1', 'FACL1', '棕榈酰辅酶A连接酶2', 'LACS2', 'FACL2', '拉丁美洲和加勒比1', '棕榈酰辅酶A连接酶1']
P09467	['3.1.3.11', 'FBPase 1', '果糖-1,6-二磷酸酯酶1', 'FBP', '肝纤维素酶', 'D-果糖-1,6-二磷酸-1-磷酸水解酶1']
P55263	["腺苷5'-磷酸转移酶", '腺苷激酶', '2.7.1.20', 'AK']
O60427	['D5D', 'δ-5去饱和酶', '1.14.19.-', 'δ（5）脂肪酸去饱和酶', 'δ（5）去饱和酶', 'FADSD5', '脂肪酸去饱和酶1']
O95864	['1.14.19.3', '脂肪酸去饱和酶2', 'δ（6）去饱和酶', 'δ-6去饱和酶', 'D6D', '酰基辅酶A 6-去饱和酶', 'δ（6）脂肪酸去饱和酶']
P32418	['NCX1', '溶质载体家族8成员1', '数控', 'Na（+）\\/Ca（2+）交换蛋白1', '钠\\/钙交换器1']
Q8NER1	['TrpV1', 'VR1', '辣椒素受体', 'OTRPC1', 'Osm-9类TRP通道1', '瞬时受体电位阳离子通道亚家族V成员1', '香草醛受体1']
Q07869	['过氧化物酶体增殖物激活受体α', 'PPARα', 'NR1C1', '核受体1亚家族成员', 'PPAR']
Q96RI1	['HRR1', '维甲酸X受体相互作用蛋白14', '核受体亚家族1 H组成员4', '胆汁酸受体', 'RXR相互作用蛋白14', '法尼类X激活受体', 'FXR', '酒吧', '法尼醇受体HRR-1', '裂口14']
Q03181	['努奇', 'NUC1', '过氧化物酶体增殖物激活受体δ', '核激素受体1', 'PPARβ', 'PPAR三角洲', 'PPARB', 'NR1C2', '过氧化物酶体增殖物激活受体β', '核受体亚家族1 C组成员2']
P37231	['过氧化物酶体增殖物激活受体γ', 'NR1C3', 'PPARγ', '核受体亚家族1 C组成员3']
P19793	['维甲酸X受体α', '核受体亚家族2 B组成员1', '维甲酸受体RXRα', 'NR2B1']
Q9NXB9	['2.3.1.199', '超长链3-氧酰基-CoA合酶2', 'ELOVL脂肪酸延长酶2', '3-酮酰基辅酶A合酶ELOVL2', 'ELOVL-FA-elongase 2', '超长链脂肪酸蛋白质2的伸长', 'SSC2', '超长链3-酮酰基辅酶A合酶2', 'ELG3']
Q9NYP7	['ELOVL2', '2.3.1.199', 'hELO1', 'ELOVL脂肪酸延长酶5', '超长链3-酮酰-CoA合酶5', '3-酮酰基辅酶A合酶ELOVL5', '超长链3-氧酰基-CoA合酶5', 'ELOVL-FA-elongase 5', '超长链脂肪酸蛋白质5的伸长', '脂肪酸延伸酶1']
P49591	['6.1.1.11', '塞尔斯', 'SERS', '丝氨酸tRNA（丝氨酸\\/秒）合成酶', '丝氨酸tRNA合成酶', '丝氨酸-tRNA连接酶，细胞质']
P50579	['肽酶M', '3.4.11.18', '蛋氨酸氨基肽酶2', 'P67EIF2', 'p67', '起始因子2相关67kDa糖蛋白', '地图2', 'MNPEP']
Q93088	['甜菜碱——同型半胱氨酸S-甲基转移酶1', '2.1.1.5']
Q9H2M3	['SMM-同型半胱氨酸甲基转移酶', '甜菜碱——同型半胱氨酸S-甲基转移酶2', '2.1.1.10', 'S-甲基甲硫氨酸——同型半胱氨酸S-甲基转移酶BHMT2']
Q9Y2Z4	['酪氨酸tRNA合成酶', '酪氨酸——tRNA连接酶，线粒体', '6.1.1.1', '提尔斯']
P54577	['酪氨酸tRNA合成酶', '6.1.1.1', '酪氨酸——tRNA连接酶，细胞质', '提尔斯']
P11473	['视频显示器', '1,25-二羟维生素D3受体', '核受体亚家族1第一组成员1', 'NR1I1', '维生素D3受体']
P31260	['PL', '同源框蛋白Hox-A10', '同源盒蛋白Hox-1H', '同源盒蛋白Hox-1.8', 'HOX1H']
Q9UPY5	['钙通道阻滞剂抗性蛋白CCBR1', '氨基酸转运系统-', '溶质载体家族7成员11', '胱氨酸\\/谷氨酸转运体', 'xCT']
O60931	['胱氨酸']
Q9BXA5	['P2Y嘌呤受体1-样', 'GPR91', 'G蛋白偶联受体91', '琥珀酸受体1']
P51649	['琥珀酸半醛脱氢酶，线粒体', '1.2.1.24', '萨德', 'NAD（+）依赖的琥珀酸半醛脱氢酶', '乙醛脱氢酶家族5成员A1']
Q969G6	['黄素激酶', '核黄素激酶', '2.7.1.26', "ATP：核黄素5'-磷酸转移酶"]
P0AFU8	['核黄素合酶', '2.5.1.9', 'RS', 'ribE']
P30043	['胆绿素IXβ还原酶', '胆绿素还原酶B', 'NADPH依赖性黄递酶', 'NADPH黄素还原酶', 'GHBP', '1.5.1.30', '黄素还原酶（NADPH）', 'FLR', '绿色血红素结合蛋白', 'FR', 'BVR-B']
P15291	['GGTB2', '2.4.1.-', 'β-1,4-半乳糖苷酶1', 'UDP-Gal:beta-GlcNAcβ-1,4-半乳糖基转移酶1', 'UDP半乳糖：β-N-乙酰葡萄糖胺β-1,4-半乳糖基转移酶1', 'β-1,4-半乳糖基转移酶1']
O60513	['UDP-Gal:beta-GlcNAcβ-1,4-半乳糖基转移酶4', '2.4.1.-', 'UDP半乳糖：β-N-乙酰葡萄糖胺β-1,4-半乳糖基转移酶4', 'β-1,4-半乳糖苷酶4', 'β-1,4-半乳糖基转移酶4']
Q9UJ70	['2.7.1.59', 'N-乙酰氨基葡萄糖激酶', 'N-乙酰-D-葡萄糖胺激酶', 'GlcNAc激酶']
Q9UK23	['磷酸二酯α-葡糖苷酶', '甘露糖6-磷酸揭膜酶', '3.1.4.45', 'N-乙酰氨基葡萄糖-1-磷酸二酯α-N-乙酰氨基葡萄糖酶']
