P00734	['Prothrombin', '3.4.21.5', 'Coagulation factor II']
Q6WRI0	['CMF608', 'Immunoglobulin superfamily member 10', 'Calvaria mechanical force protein 608', 'IgSF10']
Q8IUZ5	['AGXT2L2', '5-phosphohydroxy-L-lysine phospho-lyase', '4.2.3.134', 'Alanine--glyoxylate aminotransferase 2-like 2']
Q8IVA8	['Brain, 67kDa', 'Glutamate decarboxylase 1 (Brain, 67kDa)']
P34897	['2.1.2.1', 'Serine hydroxymethyltransferase, mitochondrial', 'Serine methylase', 'SHMT', 'Glycine hydroxymethyltransferase']
P22557	['2.3.1.37', 'ALASE', 'Delta-ALA synthase 2', 'ALAS-E', 'Delta-aminolevulinate synthase 2', 'ASB', '5-aminolevulinate synthase, erythroid-specific, mitochondrial', '5-aminolevulinic acid synthase 2']
Q8TD30	['Glutamate pyruvate transaminase 2', 'Glutamic--alanine transaminase 2', 'GPT 2', '2.6.1.2', 'AAT2', 'Alanine aminotransferase 2', 'ALT2', 'Glutamic--pyruvic transaminase 2']
Q96EN8	['MCS', 'Molybdenum cofactor sulfurase', '2.8.1.9', 'Molybdenum cofactor sulfurtransferase']
Q96GA7	['L-serine deaminase', 'Serine dehydratase 2', 'L-serine dehydratase/L-threonine deaminase', 'Serine dehydratase-like', 'TDH', 'L-threonine dehydratase', 'SDH 2']
Q9BXA1	['Hepatic peroxysomal alanine:glyoxylate aminotransferase']
Q9GZT4	['L-serine ammonia-lyase', '5.1.1.18', 'L-serine dehydratase', 'D-serine ammonia-lyase', 'Serine racemase', 'D-serine dehydratase']
Q9HD40	['Sec synthase', 'SLA/LP autoantigen', 'Selenocysteine synthase', 'Liver-pancreas antigen', 'SLA', 'UGA suppressor tRNA-associated protein', '2.9.1.2', 'Selenocysteinyl-tRNA(Sec) synthase', 'SLA-p35', 'SepSecS', 'LP', 'tRNA(Ser/Sec)-associated antigenic protein', 'Sep-tRNA:Sec-tRNA synthase', 'TRNP48', 'O-phosphoseryl-tRNA(Sec) selenium transferase', 'Soluble liver antigen']
Q9NUV7	['2.3.1.50', 'Serine-palmitoyl-CoA transferase 3', 'SPTLC2L', 'Serine palmitoyltransferase 3', 'SPT 3', 'LCB2b', 'Long chain base biosynthesis protein 2b', 'LCB 3', 'C20orf38', 'Long chain base biosynthesis protein 3']
Q9UGI5	['EC 4.1.1.15', 'Glutamic acid decarboxylase']
Q9UJX1	['Alanine-glyoxylate aminotransferase homolog']
Q99707	['Vitamin-B12 dependent methionine synthase', 'MS', '2.1.1.13', '5-methyltetrahydrofolate--homocysteine methyltransferase', 'Methionine synthase']
P22033	['5.4.99.2', 'Methylmalonyl-CoA mutase, mitochondrial', 'MCM', 'Methylmalonyl-CoA isomerase']
Q9UBK8	['1.16.1.8', 'MSR', 'Methionine synthase reductase']
Q8IVH4	['3.6.-.-', 'Methylmalonic aciduria type A protein, mitochondrial']
Q9Y4U1	['Methylmalonic aciduria and homocystinuria type C protein']
P42898	['1.5.1.20', 'Methylenetetrahydrofolate reductase']
P11586	['C1-THF synthase', 'MTHFD', 'MTHFC', 'C-1-tetrahydrofolate synthase, cytoplasmic']
P13995	['NMDMC', 'Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial']
P48728	['2.1.2.10', 'Glycine cleavage system T protein', 'GCST', 'Aminomethyltransferase, mitochondrial', 'GCVT']
O75891	['1.5.1.6', 'Aldehyde dehydrogenase family 1 member L1', 'Cytosolic 10-formyltetrahydrofolate dehydrogenase', 'FTHFD', '10-FTHFDH']
O95954	['Formimidoyltransferase-cyclodeaminase', 'FTCD', 'Formiminotransferase-cyclodeaminase', 'LCHC1']
P31939	['Bifunctional purine biosynthesis protein PURH', 'PURH']
Q96DP5	['Methionyl-tRNA formyltransferase, mitochondrial', 'FMT', 'FMT1', 'MtFMT', '2.1.2.9']
P12081	['Histidine--tRNA ligase, cytoplasmic', 'HisRS', 'HRS', '6.1.1.21', 'Histidyl-tRNA synthetase']
Q99624	['Na(+)-coupled neutral amino acid transporter 3', 'NAT1', 'Solute carrier family 38 member 3', 'N-system amino acid transporter 1', 'Sodium-coupled neutral amino acid transporter 3', 'G17', 'System N amino acid transporter 1', 'SN1', 'SNAT3']
P42357	['Histidine ammonia-lyase', 'Histidase', 'HIS', '4.3.1.3']
Q14749	['2.1.1.20', 'Glycine N-methyltransferase']
P17707	['4.1.1.50', 'S-adenosylmethionine decarboxylase proenzyme', 'AMD', 'AdoMetDC']
P31153	['MAT 2', 'AMS2', 'MATA2', '2.5.1.6', 'S-adenosylmethionine synthase isoform type-2', 'MAT-II', 'Methionine adenosyltransferase II', 'AdoMet synthase 2', 'Methionine adenosyltransferase 2']
Q00266	['S-adenosylmethionine synthase isoform type-1', '2.5.1.6', 'AdoMet synthase 1', 'MAT-I/III', 'Methionine adenosyltransferase 1', 'MATA1', 'Methionine adenosyltransferase I/III', 'MAT 1', 'AMS1']
P21964	['Catechol O-methyltransferase', '2.1.1.6']
Q8N1G2	['2.1.1.57', "Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1", 'Cap methyltransferase 1', 'hMTr1', 'KIAA0082', 'Interferon-stimulated gene 95 kDa protein', "Cap1 2'O-ribose methyltransferase 1", 'FTSJD2', 'MTR1', 'FtsJ methyltransferase domain-containing protein 2', 'ISG95']
Q9HBK9	['S-adenosyl-L-methionine:arsenic(III) methyltransferase', 'CYT19', 'Methylarsonite methyltransferase', 'Arsenite methyltransferase', '2.1.1.137']
O15427	['Monocarboxylate transporter 4', 'Solute carrier family 16 member 3', 'MCT4', 'MCT 4']
P36021	['X-linked PEST-containing transporter', 'Solute carrier family 16 member 2', 'MCT8', 'Monocarboxylate transporter 8', 'MCT 7', 'Monocarboxylate transporter 7', 'XPCT', 'MCT 8']
O15375	['MCT 6', 'MCT5', 'Solute carrier family 16 member 5', 'Monocarboxylate transporter 6', 'Monocarboxylate transporter 5', 'MCT6', 'MCT 5']
P30613	['R-type/L-type pyruvate kinase', 'Red cell/liver pyruvate kinase', 'PKL', 'PK1', 'Pyruvate kinase 1', 'Pyruvate kinase isozymes L/R', '2.7.1.40', 'Pyruvate kinase PKLR']
O15403	['MCT 6', 'Solute carrier family 16 member 6', 'Monocarboxylate transporter 6', 'MCT7', 'MCT 7', 'Monocarboxylate transporter 7', 'MCT6']
O60669	['Monocarboxylate transporter 2', 'MCT2', 'Solute carrier family 16 member 7', 'MCT 2']
P11177	['1.2.4.1', 'PHE1B', 'PDHE1-B', 'Pyruvate dehydrogenase E1 component subunit beta, mitochondrial']
P14618	['p58', 'Thyroid hormone-binding protein 1', 'OIP-3', 'CTHBP', 'Cytosolic thyroid hormone-binding protein', 'PK3', 'Pyruvate kinase PKM', 'PKM2', 'PK2', 'Tumor M2-PK', 'THBP1', 'OIP3', '2.7.1.40', 'Opa-interacting protein 3', 'Pyruvate kinase muscle isozyme', 'Pyruvate kinase 2/3']
O15374	['Solute carrier family 16 member 4', 'MCT4', 'MCT 4', 'MCT5', 'Monocarboxylate transporter 5', 'Monocarboxylate transporter 4', 'MCT 5']
O95907	['Solute carrier family 16 member 8', 'MCT 3', 'Monocarboxylate transporter 3', 'MCT3']
P53985	['Solute carrier family 16 member 1', 'MCT 1', 'MCT1', 'Monocarboxylate transporter 1']
P11498	['Pyruvate carboxylase, mitochondrial', 'Pyruvic carboxylase', '6.4.1.1', 'PCB']
Q9UHI5	['Large neutral amino acids transporter small subunit 2', 'LAT2', 'hLAT2', 'L-type amino acid transporter 2', 'Solute carrier family 7 member 8']
Q9Y285	['Phenylalanyl-tRNA synthetase alpha subunit', 'CML33', 'Phenylalanine--tRNA ligase alpha subunit', 'PheRS', 'FARS', 'FARSLA', 'FARSL', '6.1.1.20']
P00439	['PAH', 'Phe-4-monooxygenase', 'Phenylalanine-4-hydroxylase', '1.14.16.1']
O95363	['Phenylalanyl-tRNA synthetase', 'FARS1', 'PheRS', 'Phenylalanine--tRNA ligase, mitochondrial', '6.1.1.20']
Q9NSD9	['FRSB', 'PheRS', 'FARSLB', '6.1.1.20', 'Phenylalanyl-tRNA synthetase beta subunit', 'Phenylalanine--tRNA ligase beta subunit']
P07101	['Tyrosine 3-hydroxylase', 'Tyrosine 3-monooxygenase', '1.14.16.2', 'TH', 'TYH']
P05166	['PCCase subunit beta', 'Propionyl-CoA carboxylase beta chain, mitochondrial', '6.4.1.3', 'Propanoyl-CoA:carbon dioxide ligase subunit beta']
P50747	['Biotin apo-protein ligase', 'Biotin--protein ligase', '6.3.4.-']
Q9HCC0	['MCCase subunit beta', '3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta', 'Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial', '6.4.1.4', '3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit', '3-methylcrotonyl-CoA carboxylase 2', 'MCCB']
O00763	['Acetyl-CoA carboxylase 2', 'ACC-beta', 'ACC2', 'ACCB', '6.4.1.2']
Q96RQ3	['MCCase subunit alpha', 'Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial', '3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha', 'MCCA', '6.4.1.4', '3-methylcrotonyl-CoA carboxylase 1', '3-methylcrotonyl-CoA carboxylase biotin-containing subunit']
P05165	['Propanoyl-CoA:carbon dioxide ligase subunit alpha', 'Propionyl-CoA carboxylase alpha chain, mitochondrial', '6.4.1.3', 'PCCase subunit alpha']
Q13085	['ACCA', 'ACAC', 'ACC-alpha', 'Acetyl-CoA carboxylase 1', '6.4.1.2', 'ACC1']
Q9Y5K3	['CTP:phosphocholine cytidylyltransferase B', 'CCTB', '2.7.7.15', 'CCT-beta', 'CCT B', 'Phosphorylcholine transferase B', 'Choline-phosphate cytidylyltransferase B', 'CT B']
P22303	['3.1.1.7', 'Acetylcholinesterase', 'AChE']
P49585	['CCT A', 'PCYT1', 'CT A', 'CCT-alpha', '2.7.7.15', 'Choline-phosphate cytidylyltransferase A', 'CTPCT', 'CTP:phosphocholine cytidylyltransferase A', 'Phosphorylcholine transferase A']
O14939	['PLD1C', '3.1.4.4', 'Choline phosphatase 2', 'PLD 2', 'Phosphatidylcholine-hydrolyzing phospholipase D2', 'Phospholipase D2']
P06276	['Cholinesterase', 'Choline esterase II', 'Pseudocholinesterase', 'Butyrylcholine esterase', '3.1.1.8', 'Acylcholine acylhydrolase', 'CHE1']
Q13393	['Phospholipase D1', '3.1.4.4', 'Phosphatidylcholine-hydrolyzing phospholipase D1', 'Choline phosphatase 1', 'PLD 1']
Q8TCT1	['Phosphoethanolamine/phosphocholine phosphatase', '3.1.3.75']
P36544	['Neuronal acetylcholine receptor subunit alpha-7', 'NACHRA7']
P30825	['REC1L', 'ERR', 'Ecotropic retroviral leukemia receptor homolog', 'Ecotropic retrovirus receptor homolog', 'ATRC1', 'System Y+ basic amino acid transporter', 'High affinity cationic amino acid transporter 1', 'CAT-1', 'Solute carrier family 7 member 1']
O43246	['Solute carrier family 7 member 4', 'CAT-4', 'Cationic amino acid transporter 4']
Q8WY07	['ATRC3', 'Cationic amino acid transporter 3', 'CAT3', 'Solute carrier family 7 member 3', 'CAT-3', 'Cationic amino acid transporter y+']
P52569	['Low affinity cationic amino acid transporter 2', 'Cationic amino acid transporter 2', 'CAT2', 'Solute carrier family 7 member 2', 'ATRC2', 'CAT-2']
Q15046	['LysRS', 'Lysine--tRNA ligase', 'KIAA0070', 'Lysyl-tRNA synthetase', '6.1.1.6']
P29474	['NOSIII', 'Constitutive NOS', 'cNOS', '1.14.13.39', 'Endothelial NOS', 'NOS type III', 'eNOS', 'Nitric oxide synthase, endothelial', 'EC-NOS']
P04424	['Arginosuccinase', '4.3.2.1', 'ASAL', 'Argininosuccinate lyase']
P35228	['NOS2A', 'Nitric oxide synthase, inducible', 'iNOS', '1.14.13.39', 'Peptidyl-cysteine S-nitrosylase NOS2', 'Hepatocyte NOS', 'HEP-NOS', 'Inducible NO synthase', 'NOS type II', 'Inducible NOS']
P78540	['3.5.3.1', 'Arginase-2, mitochondrial', 'Kidney-type arginase', 'Type II arginase', 'Non-hepatic arginase']
P00966	['ASS', 'Citrulline--aspartate ligase', '6.3.4.5', 'Argininosuccinate synthase']
Q54873	['Hyaluronate lyase', 'Hyaluronidase', 'HYase', '4.2.2.1']
P24300	['Xylose isomerase', '5.3.1.5']
O00469	['1.14.11.4', 'LH2', 'Lysyl hydroxylase 2', 'Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2']
O60568	['Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3', '1.14.11.4', 'LH3', 'Lysyl hydroxylase 3']
O75936	['Gamma-BBH', 'Gamma-butyrobetaine dioxygenase', 'BBH', 'BBOX', 'Gamma-butyrobetaine hydroxylase', 'Gamma-butyrobetaine,2-oxoglutarate dioxygenase', '1.14.11.1']
P09172	['1.14.17.1', 'Dopamine beta-hydroxylase', 'Dopamine beta-monooxygenase']
P19021	['PAM', 'Peptidyl-glycine alpha-amidating monooxygenase']
Q32P28	['Leucine- and proline-enriched proteoglycan 1', 'Prolyl 3-hydroxylase 1', 'Growth suppressor 1', 'LEPRE1', 'Leprecan-1', '1.14.11.7', 'GROS1']
Q8IVL5	['Leprecan-like protein 1', 'MLAT4', 'Myxoid liposarcoma-associated protein 4', 'LEPREL1', '1.14.11.7', 'Prolyl 3-hydroxylase 2']
Q8IVL6	['LEPREL2', 'Leprecan-like protein 2', 'Prolyl 3-hydroxylase 3', '1.14.11.7', 'Protein B']
P13674	['4-PH alpha-1', '1.14.11.2', 'Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1', 'P4HA', 'Prolyl 4-hydroxylase subunit alpha-1']
Q8N543	['2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1', 'TPA1', 'Termination and polyadenylation 1 homolog', '1.14.11.-', 'KIAA1612', 'Prolyl 3-hydroxylase OGFOD1']
Q6N063	['1.14.11.-', '2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2']
Q6NS38	['1.14.11.33', 'Oxy DC1', 'ABH2', 'DNA oxidative demethylase ALKBH2', 'Alkylated DNA repair protein alkB homolog 2', 'Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2']
Q96Q83	['Prostate cancer antigen 1', 'DEPC1', 'Alkylated DNA repair protein alkB homolog 3', '1.14.11.-', 'Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3', 'DEPC-1', 'ABH3']
Q9BY66	['Lysine-specific demethylase 5D', 'HYA', 'Protein SmcY', 'HY', 'SMCY', '1.14.11.-', 'H-Y', 'KIAA0234', 'Histone demethylase JARID1D', 'Histocompatibility Y antigen', 'Jumonji/ARID domain-containing protein 1D', 'JARID1D']
Q02809	['LH1', 'Lysyl hydroxylase 1', 'LLH', '1.14.11.4', 'PLOD', 'Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1']
Q9NVH6	['Epsilon-trimethyllysine hydroxylase', 'Epsilon-trimethyllysine 2-oxoglutarate dioxygenase', 'TML hydroxylase', 'Trimethyllysine dioxygenase, mitochondrial', 'TML dioxygenase', 'TMLD', '1.14.11.8', 'TML-alpha-ketoglutarate dioxygenase', 'TMLH']
Q9NXG6	['PH4', 'HIF-PH4', 'Hypoxia-inducible factor prolyl hydroxylase 4', 'Transmembrane prolyl 4-hydroxylase', 'HPH-4', '1.14.11.-', 'P4H-TM', 'HIF-prolyl hydroxylase 4']
Q9GZT9	['C1orf12', 'HIF-PH2', 'Hypoxia-inducible factor prolyl hydroxylase 2', 'Prolyl hydroxylase domain-containing protein 2', 'Egl nine homolog 1', '1.14.11.29', 'HPH-2', 'SM-20', 'HIF-prolyl hydroxylase 2', 'PHD2']
Q96KS0	['Estrogen-induced tag 6', 'HPH-3', 'Egl nine homolog 2', 'EIT6', 'HPH-1', 'Prolyl hydroxylase domain-containing protein 1', 'Hypoxia-inducible factor prolyl hydroxylase 1', 'PHD1', '1.14.11.29', 'HIF-PH1', 'HIF-prolyl hydroxylase 1']
Q9H6Z9	['HPH-3', 'HIF-PH3', 'Hypoxia-inducible factor prolyl hydroxylase 3', 'HPH-1', 'Egl nine homolog 3', '1.14.11.29', 'PHD3', 'Prolyl hydroxylase domain-containing protein 3', 'HIF-prolyl hydroxylase 3']
P52788	['Spermidine aminopropyltransferase', '2.5.1.22', 'SPMSY', 'Spermine synthase']
Q9NWM0	['1.5.3.16', 'PAOh1', 'PAO-1', 'Polyamine oxidase 1', 'C20orf16', 'Spermine oxidase', 'SMO']
P41180	['Parathyroid cell calcium-sensing receptor 1', 'Extracellular calcium-sensing receptor', 'GPRC2A', 'CaSR', 'PCAR1']
P08588	['Beta-1 adrenoceptor', 'Beta-1 adrenergic receptor', 'Beta-1 adrenoreceptor', 'ADRB1R', 'B1AR']
P07550	['B2AR', 'ADRB2R', 'Beta-2 adrenergic receptor', 'Beta-2 adrenoreceptor', 'Beta-2 adrenoceptor']
P07998	['RNase 1', 'RNase A', 'HP-RNase', 'Ribonuclease pancreatic', 'Ribonuclease 1', 'Ribonuclease A', '3.1.27.5', 'RNS1', 'RNase UpI-1', 'RIB1', 'RIB-1']
P61626	['3.2.1.17', 'Lysozyme C', '1,4-beta-N-acetylmuramidase C', 'LZM']
Q9UJS0	['Mitochondrial aspartate glutamate carrier 2', 'Calcium-binding mitochondrial carrier protein Aralar2', 'ARALAR2', 'Solute carrier family 25 member 13', 'Citrin']
P45381	['Aminoacylase-2', 'ACY-2', 'ACY2', 'Aspartoacylase', '3.5.1.15', 'ASP']
P08243	['Glutamine-dependent asparagine synthetase', 'Cell cycle control protein TS11', 'TS11', 'Asparagine synthetase [glutamine-hydrolyzing]', '6.3.5.4']
Q03154	['N-acyl-L-amino-acid amidohydrolase', 'Aminoacylase-1', '3.5.1.14', 'ACY-1']
P14868	['Aspartyl-tRNA synthetase', 'AspRS', 'Aspartate--tRNA ligase, cytoplasmic', '6.1.1.12', 'Cell proliferation-inducing gene 40 protein']
O75746	['Mitochondrial aspartate glutamate carrier 1', 'Calcium-binding mitochondrial carrier protein Aralar1', 'ARALAR1', 'Solute carrier family 25 member 12']
Q12797	['BAH', 'Aspartyl/asparaginyl beta-hydroxylase', 'ASP beta-hydroxylase', 'Peptide-aspartate beta-dioxygenase', 'Aspartate beta-hydroxylase', '1.14.11.16']
P22234	['Multifunctional protein ADE2', 'PAIS', 'ADE2', 'AIRC']
P30520	['Adenylosuccinate synthetase, acidic isozyme', 'AMPSase 2', 'L-type adenylosuccinate synthetase', 'IMP--aspartate ligase 2', 'Adenylosuccinate synthetase, liver isozyme', 'Adenylosuccinate synthetase isozyme 2', 'ADSS2', '6.3.4.4']
P43005	['EAAC1', 'Excitatory amino acid transporter 3', 'Excitatory amino-acid carrier 1', 'Neuronal and epithelial glutamate transporter', 'Sodium-dependent glutamate/aspartate transporter 3', 'EAAT3', 'Solute carrier family 1 member 1']
Q5T6L4	['cDNA, FLJ96050, highly similar to Homo sapiens argininosuccinate synthetase (ASS), transcript variant1, mRNA', 'Argininosuccinate synthetase, isoform CRA_a']
Q6PI48	['Aspartyl-tRNA synthetase', 'AspRS', 'Aspartate--tRNA ligase, mitochondrial', '6.1.1.12']
Q7L266	['Beta-aspartyl-peptidase', 'Isoaspartyl peptidase/L-asparaginase', 'Asparaginase-like protein 1', 'ALP', 'L-asparagine amidohydrolase', 'Isoaspartyl dipeptidase', 'CRASH', '3.4.19.5']
Q8N142	['Adenylosuccinate synthetase, basic isozyme', 'M-type adenylosuccinate synthetase', 'Adenylosuccinate synthetase, muscle isozyme', 'Adenylosuccinate synthetase isozyme 1', 'IMP--aspartate ligase 1', '6.3.4.4', 'AMPSase 1', 'ADSS1']
P00480	['2.1.3.3', 'Ornithine carbamoyltransferase, mitochondrial', 'Ornithine transcarbamylase', 'OTCase']
P05089	['3.5.3.1', 'Type I arginase', 'Liver-type arginase', 'Arginase-1']
P54368	['OAZ', 'Ornithine decarboxylase antizyme 1', 'ODC-Az']
Q9BXI2	['Mitochondrial ornithine transporter 2', 'ORNT2', 'Solute carrier family 25 member 2']
Q9Y619	['ORNT1', 'Solute carrier family 25 member 15', 'Mitochondrial ornithine transporter 1']
P50440	['2.1.4.1', 'L-arginine:glycine amidinotransferase', 'Transamidinase', 'AGAT', 'Glycine amidinotransferase, mitochondrial']
P17812	['CTPS', 'CTP synthetase 1', '6.3.4.2', 'UTP--ammonia ligase 1', 'CTP synthase 1']
Q06203	['ATase', 'GPAT', 'Amidophosphoribosyltransferase', '2.4.2.14', 'Glutamine phosphoribosylpyrophosphate amidotransferase']
P15104	['6.3.1.2', 'GLNS', 'Glutamate decarboxylase', 'GS', 'Glutamine synthetase', 'Glutamate--ammonia ligase']
P16220	['Cyclic AMP-responsive element-binding protein 1', 'CREB-1']
Q07343	['PDE32', "cAMP-specific 3',5'-cyclic phosphodiesterase 4B", 'DPDE4', '3.1.4.53']
Q9Y478	['AMPK subunit beta-1', "5'-AMP-activated protein kinase subunit beta-1", 'AMPK']
P49773	['Protein kinase C-interacting protein 1', 'PRKCNH1', 'Histidine triad nucleotide-binding protein 1', '3.-.-.-', "Adenosine 5'-monophosphoramidase", 'HINT', 'PKCI1', 'Protein kinase C inhibitor 1', 'PKCI-1']
Q08499	['DPDE3', '3.1.4.53', "cAMP-specific 3',5'-cyclic phosphodiesterase 4D", 'PDE43']
Q9NR19	['ACAS2', 'Acetyl-coenzyme A synthetase, cytoplasmic', 'ACS', 'Acyl-activating enzyme', 'Acyl-CoA synthetase short-chain family member 2', 'Acetyl-CoA synthetase', '6.2.1.1', 'AceCS', 'Acetate--CoA ligase']
Q13131	['AMPK subunit alpha-1', "5'-AMP-activated protein kinase catalytic subunit alpha-1", 'Hydroxymethylglutaryl-CoA reductase kinase', 'Tau-protein kinase PRKAA1', 'AMPK1', '2.7.11.1', 'ACACA kinase', 'HMGCR kinase', 'Acetyl-CoA carboxylase kinase']
Q08828	['Adenylate cyclase type 1', 'Adenylate cyclase type I', '4.6.1.1', 'Adenylyl cyclase 1', 'Ca(2+)/calmodulin-activated adenylyl cyclase', 'ATP pyrophosphate-lyase 1']
P33121	['Long-chain fatty acid-CoA ligase 2', 'LACS1', 'Acyl-CoA synthetase 1', '6.2.1.3', 'LACS 2', 'Long-chain acyl-CoA synthetase 2', 'LACS', 'ACS1', 'Long-chain-fatty-acid--CoA ligase 1', 'Long-chain acyl-CoA synthetase 1', 'FACL1', 'Palmitoyl-CoA ligase 2', 'LACS2', 'FACL2', 'LACS 1', 'Palmitoyl-CoA ligase 1']
P09467	['3.1.3.11', 'FBPase 1', 'Fructose-1,6-bisphosphatase 1', 'FBP', 'Liver FBPase', 'D-fructose-1,6-bisphosphate 1-phosphohydrolase 1']
P55263	["Adenosine 5'-phosphotransferase", 'Adenosine kinase', '2.7.1.20', 'AK']
O60427	['D5D', 'Delta-5 desaturase', '1.14.19.-', 'Delta(5) fatty acid desaturase', 'Delta(5) desaturase', 'FADSD5', 'Fatty acid desaturase 1']
O95864	['1.14.19.3', 'Fatty acid desaturase 2', 'Delta(6) desaturase', 'Delta-6 desaturase', 'D6D', 'Acyl-CoA 6-desaturase', 'Delta(6) fatty acid desaturase']
P32418	['NCX1', 'Solute carrier family 8 member 1', 'CNC', 'Na(+)/Ca(2+)-exchange protein 1', 'Sodium/calcium exchanger 1']
Q8NER1	['TrpV1', 'VR1', 'Capsaicin receptor', 'OTRPC1', 'Osm-9-like TRP channel 1', 'Transient receptor potential cation channel subfamily V member 1', 'Vanilloid receptor 1']
Q07869	['Peroxisome proliferator-activated receptor alpha', 'PPAR-alpha', 'NR1C1', 'Nuclear receptor subfamily 1 group C member 1', 'PPAR']
Q96RI1	['HRR1', 'Retinoid X receptor-interacting protein 14', 'Nuclear receptor subfamily 1 group H member 4', 'Bile acid receptor', 'RXR-interacting protein 14', 'Farnesoid X-activated receptor', 'FXR', 'BAR', 'Farnesol receptor HRR-1', 'RIP14']
